prog	i	hours	female	effort	loss	satiscont	satisfied
jogging	39	2.4773962864	male	35.343574465	13.113692311	5.4346081553	0
jogging	40	1.9076836819	male	27.686837956	5.9977221701	4.0608772078	0
jogging	41	2.5666112112	male	29.328313338	12.660036444	6.1394069447	0
jogging	42	2.558896756	male	29.119496143	10.048219267	9.4272131518	1
jogging	43	2.2996875504	male	25.356550279	6.7613421256	6.9095857952	0
jogging	44	2.0207665223	male	32.272306499	14.825096604	5.9794641417	0
jogging	45	2.1949213741	male	32.063659156	18.090865596	4.0953284605	0
jogging	46	1.8569320024	male	27.64677892	5.0680466227	6.7248424763	0
jogging	47	1.9056748052	male	24.358000132	6.8358532416	4.9496142931	0
jogging	48	0.8646757411	male	29.883510491	2.9311628936	0.2964994486	0
jogging	49	2.7016693831	male	29.733068536	19.731903373	5.5452421868	0
jogging	50	1.9563910344	male	19.792183396	0.1926283229	5.3635449223	0
jogging	51	1.4577337761	male	37.159317992	15.714591238	2.8247520009	0
jogging	52	1.9867595021	male	22.081914395	5.554805424	5.9851160813	0
jogging	53	1.1175382414	male	29.861244356	-1.246788854	9.5344953643	1
jogging	54	1.7680660163	male	29.875085891	8.5625675197	6.9802642628	0
jogging	55	2.0532124837	male	33.261784934	11.627682744	4.9221108738	0
jogging	56	1.6818519106	male	19.221688557	2.1543879788	0.9925091751	0
jogging	57	1.9572427809	male	28.468556643	15.493464973	4.8288652415	0
jogging	58	1.5011480862	male	36.888342945	17.551365158	2.048810014	0
jogging	59	1.5173992568	male	28.184775431	9.9431015052	1.8144304769	0
jogging	60	1.3998580843	male	27.359391354	8.5942810304	3.1402334386	0
jogging	61	1.6649984435	male	39.116722739	17.082289974	10.116960382	1
jogging	62	2.5843040194	male	27.47183801	11.453814001	9.2908105506	1
jogging	63	2.1452941118	male	41.583647492	21.560101463	6.6996684856	0
jogging	64	2.6283512816	male	40.843110935	22.570863402	2.406843014	0
jogging	65	2.5969794575	male	25.050058369	10.231730516	7.7614582798	1
jogging	66	2.0792134086	male	19.695288434	0.5889660955	3.1838318801	0
jogging	67	2.1564879396	male	26.338758255	11.049802519	-1.628459407	0
jogging	68	2.8408558891	male	31.865547686	15.794557802	13.295680523	1
jogging	69	1.8625016265	male	27.712647237	4.1421060765	4.276938766	0
jogging	70	2.2405979695	male	33.789265514	25.604921056	8.7226616	1
jogging	71	2.1287681271	male	31.981362254	16.995766715	5.4095953064	0
jogging	72	1.7099057868	male	28.244122761	12.076732292	3.5844638129	0
jogging	73	2.7519504562	male	19.404143008	0.8934348799	9.1048057518	1
jogging	74	2.9427775305	male	31.484387227	12.141683509	10.448884825	1
jogging	75	1.7283360021	male	32.791760914	9.862050015	8.4598732195	1
jogging	76	2.5080435406	male	24.835190258	2.9817856039	7.6252169403	1
jogging	77	1.527968327	male	32.606434154	14.36620345	3.4083758956	0
jogging	78	2.4208927278	male	42.501588792	18.962605358	6.8890643585	0
jogging	79	2.5521544513	male	25.857816305	3.3096883833	3.7204470059	0
jogging	80	2.1074263903	male	27.121997976	5.177439695	9.2232080529	1
jogging	81	1.5347717892	male	28.618037678	8.3858677932	5.5451390204	0
jogging	82	3.008793819	male	31.156202011	10.659094103	8.9271865684	1
jogging	83	1.6523889979	male	24.342793874	-3.74332552	1.9085311933	0
jogging	84	1.6914418669	male	37.1375777	10.235576744	1.8367019497	0
jogging	85	1.3367356637	male	28.390708408	6.3155515198	7.982672312	1
jogging	86	1.5231572481	male	22.874661745	5.3287605636	-0.571828064	0
jogging	87	3.2067425193	male	34.81758382	20.056425969	5.5529996486	0
jogging	88	1.6961763197	male	16.782250482	-0.108963695	3.7814521463	0
jogging	89	1.1296186954	male	35.126200609	8.297955127	3.7626162553	0
jogging	90	2.4983991223	male	32.636931263	15.798360764	5.6854260129	0
jogging	91	1.3326207	male	36.037759038	18.592354879	3.7877244179	0
jogging	92	1.5234827439	male	26.572358089	8.7749508822	6.9003193494	0
jogging	93	2.3372984724	male	32.106149974	14.018512318	4.7906865593	0
jogging	94	1.4802638864	male	24.562934703	11.508182581	4.4190588581	0
jogging	95	1.8851675161	male	32.364589536	16.361095314	3.3543921837	0
jogging	96	1.9900271518	male	26.742810709	9.6698405427	2.5934414741	0
jogging	97	2.6314210624	male	32.529928178	14.515595462	9.5257444947	1
jogging	98	2.4990879322	male	34.39723084	20.691004498	3.1356774461	0
jogging	99	2.1204181145	male	31.003769162	7.2890086328	5.2429635461	0
jogging	100	2.3324790293	male	30.859678854	13.41703999	12.367155702	1
jogging	101	1.9889973004	male	24.970516867	14.217991156	2.2037804003	0
jogging	102	3.2278365876	male	32.212286427	15.811450211	5.6825463162	0
jogging	103	1.8775623884	male	34.379527052	16.54560732	2.5881267222	0
jogging	104	1.5115454519	male	34.397300049	11.878230102	6.6426977116	0
jogging	105	1.7919843091	male	26.811882309	12.165742195	7.0617968749	1
jogging	106	1.734408076	male	29.300784392	10.962237036	0.4537387771	0
jogging	107	1.5292832293	male	28.688950021	12.60598158	5.2044934328	0
jogging	108	2.0057544815	male	31.769232024	15.33496155	7.9753476938	1
jogging	109	1.8315655672	male	36.327795239	20.501216951	3.5869559011	0
jogging	110	1.4204167787	male	29.720483198	2.3187106747	-1.722362828	0
jogging	111	1.9551409456	male	37.274409265	20.792094444	5.1779729977	0
jogging	112	1.2441435572	male	28.776861793	12.335136183	6.583038052	0
jogging	113	2.0186219219	male	31.740109283	16.493216787	10.37257141	1
jogging	114	3.0742238134	male	30.854203075	16.000727613	10.257606248	1
jogging	115	2.6238717236	male	32.464068118	19.420001929	6.0760185317	0
jogging	116	1.3402698707	male	27.195673067	5.592401191	3.9715274672	0
jogging	117	2.9592834769	male	30.814944615	12.099782726	9.7577559887	1
jogging	118	2.7193055652	male	28.076383452	7.5897248002	6.9676974231	0
jogging	119	2.4014747231	male	26.676377473	10.17473058	10.471241005	1
jogging	120	2.394859708	male	32.078757835	11.322367636	9.310794539	1
jogging	121	1.9226536073	male	35.486859763	18.412365434	4.9320107924	0
jogging	122	2.7612083019	male	25.427133844	9.7711001113	10.406713957	1
jogging	123	2.0689697169	male	33.266236025	19.777268658	7.2147194022	1
jogging	124	1.2366093786	male	33.711445405	11.019375095	4.6001260877	0
jogging	125	2.1962700434	male	32.027556676	13.153201165	5.0054354222	0
jogging	126	2.0562520557	male	30.502337788	4.0024296753	8.9803064351	1
jogging	127	1.9558855879	male	24.722348086	9.8891811485	3.7607245781	0
jogging	128	1.7674257669	male	24.834474657	7.7048892953	5.9902020772	0
jogging	129	2.0996756069	male	28.529092901	8.3079731047	7.1009713721	1
jogging	130	2.3660356334	male	33.55661531	17.668969589	5.4451318808	0
jogging	131	2.3379879444	male	39.204675071	26.667164963	6.5775407612	0
jogging	132	2.8352983455	male	33.050217493	23.459310252	12.801669074	1
jogging	133	1.8232615709	male	40.446941025	12.261361165	3.3129696638	0
jogging	134	2.0223110314	male	37.538082395	17.244460969	6.5230110547	0
jogging	135	1.4563786694	male	17.51012882	1.222189202	7.7463943774	1
jogging	136	1.5568599322	male	21.25832955	8.70997747	4.7767460199	0
jogging	137	1.936462544	male	29.830059735	14.875616228	4.5582413148	0
jogging	138	1.7446854082	male	33.652651549	7.9187228286	7.74162404	1
jogging	139	2.0598150418	male	36.215328798	16.25545485	2.3622476138	0
jogging	140	1.2697693247	male	30.072029911	8.4814428645	9.267752256	1
jogging	141	2.0328990311	male	32.758548429	15.568431104	3.6303153897	0
jogging	142	1.5341962345	male	27.517588576	2.6607127402	7.7717116982	1
jogging	143	1.3150546293	male	24.050227293	9.7709152495	2.096333886	0
jogging	144	2.3791610508	male	32.745248875	13.220217774	8.2025060784	1
jogging	145	1.5031607052	male	31.438998226	11.930274622	8.5787879541	1
jogging	146	2.2252322093	male	28.009849224	15.841487637	8.7900365033	1
jogging	147	1.6737184173	male	23.590148607	3.3237925036	6.4195566597	0
jogging	148	1.9186190282	male	32.683467274	11.789080377	6.7509558946	0
jogging	149	1.6049544724	male	25.11583713	8.6203101046	1.9304778117	0
jogging	150	2.808948055	male	44.012005207	30.812781973	4.6083493516	0
jogging	151	2.4511130851	female	27.099187038	4.2652719381	9.6554105417	1
jogging	152	2.3092627843	female	24.026153718	7.5593042173	5.437444805	0
jogging	153	2.6524820355	female	29.24401986	11.072566962	9.1376705375	1
jogging	154	1.661609899	female	31.636087323	6.8548355117	-0.203742566	0
jogging	155	1.8643678222	female	31.776640267	0.9429818702	7.2596082554	1
jogging	156	1.4295221774	female	22.658479962	-4.884493917	6.4490729976	0
jogging	157	1.6391860793	female	24.133708751	-1.386409156	11.892815283	1
jogging	158	2.6485000539	female	32.561884186	12.239648092	7.6638458605	1
jogging	159	1.3718385467	female	41.774426874	6.6675517495	0.7274754634	0
jogging	160	2.2971898732	female	19.213647398	-2.670946752	4.7721883414	0
jogging	161	1.8816008971	female	42.030121439	7.5712697896	7.0512437205	1
jogging	162	1.7849240998	female	25.148692114	-7.840372001	0.7523935284	0
jogging	163	2.2261170281	female	27.702621336	5.6355891908	5.6083588739	0
jogging	164	2.0635301102	female	29.555483519	7.2952508828	8.5794804337	1
jogging	165	1.9295753027	female	22.909187288	-1.278990152	4.6879729679	0
jogging	166	2.3735115034	female	31.17600742	13.972572379	5.036067952	0
jogging	167	2.2419577364	female	24.163378245	2.4379594362	5.3452424355	0
jogging	168	1.9707423857	female	22.776819408	3.181888442	11.29174039	1
jogging	169	1.2612857439	female	30.441000884	5.802773329	0.4629302482	0
jogging	170	2.6251078878	female	22.990877817	5.054321226	7.6004682684	1
jogging	171	1.9191796493	female	27.729691211	1.1425040423	4.7787326183	0
jogging	172	2.4325446826	female	22.556660965	-1.012727271	10.079668877	1
jogging	173	0.8969313535	female	29.548524406	-1.300106891	0.9303225683	0
jogging	174	1.7025632012	female	28.528081764	-1.184700004	7.1789276219	1
jogging	175	1.514351913	female	34.101706829	0.8393444414	4.2061410402	0
jogging	176	1.5032720034	female	26.769654696	-1.348299611	-0.333249896	0
jogging	177	1.2238386208	female	32.712102017	-4.046370598	6.7235037961	0
jogging	178	2.108369825	female	34.191107897	17.075171475	5.8784502578	0
jogging	179	2.8665327483	female	34.761558934	14.178566307	8.2597515801	1
jogging	180	2.2170306782	female	28.06947272	8.6947310429	9.2933771365	1
jogging	181	1.9275676261	female	33.675430631	5.602395154	10.336165649	1
jogging	182	2.0568384831	female	32.039911156	7.276574529	3.7707753148	0
jogging	183	2.4110182798	female	36.664163533	13.282836148	8.3077950795	1
jogging	184	1.7936911825	female	27.782697509	2.9010783042	9.8674655882	1
jogging	185	2.2175646445	female	32.323439551	5.1216040981	7.2232364517	1
jogging	186	2.5094605858	female	34.57374678	11.434046115	3.8958572718	0
jogging	187	1.0513130603	female	37.163811247	-1.338385938	8.6105532758	1
jogging	188	2.1750212842	female	28.719667306	7.6927280829	7.4238821195	1
jogging	189	2.2089628003	female	22.847002372	4.7152878336	5.9881946205	0
jogging	190	1.1495109076	female	34.826525763	-5.289447864	-1.627631164	0
jogging	191	2.2119093363	female	27.674140006	1.0889219088	11.651029848	1
jogging	192	1.568050277	female	36.637183025	4.5694081067	3.1762654625	0
jogging	193	2.2731682434	female	31.082780174	6.5698956079	1.1474943531	0
jogging	194	2.0457291326	female	29.3584173	0.5988030864	4.8127906557	0
jogging	195	2.6910393838	female	28.486401669	9.9610468384	9.5701327245	1
jogging	196	1.7853717534	female	25.966538924	8.8299359293	3.1106498487	0
jogging	197	1.2666774212	female	36.783883396	-1.817629888	4.1126166435	0
jogging	198	1.8494338182	female	29.629328738	0.4675204356	2.6782072374	0
jogging	199	1.9926810607	female	28.166880135	5.7787648297	8.7734147931	1
jogging	200	2.0100733802	female	28.294753845	2.1282558155	5.0871556696	0
jogging	201	1.7088850062	female	28.63518486	2.1725465422	6.5695493669	0
jogging	202	1.198850966	female	33.436910334	5.3417691719	-1.242409927	0
jogging	203	2.1814368931	female	23.391178021	5.3316167977	7.9587781673	1
jogging	204	1.766976923	female	28.382419785	1.6336643936	2.7018356914	0
jogging	205	1.1143079648	female	27.362170005	-11.06019306	-3.551854313	0
jogging	206	2.2795944577	female	33.962028724	11.057370871	4.5011231012	0
jogging	207	2.2986091422	female	31.348961976	3.2685620879	4.9194120275	0
jogging	208	1.8917462584	female	23.542679683	-7.958889202	1.2527902947	0
jogging	209	2.4664101243	female	26.229475109	5.7362331205	5.0164129337	0
jogging	210	1.5247259802	female	30.473364751	-9.8147919	1.1261837394	0
jogging	211	2.3446475359	female	29.108044523	3.2664380786	9.5194478462	1
jogging	212	1.039580789	female	29.87357789	-6.190263385	9.4833200973	1
jogging	213	1.6380044025	female	29.227049126	6.6447691492	-0.779742483	0
jogging	214	2.2379479662	female	35.570839427	12.083896453	7.1025576033	1
jogging	215	1.379310421	female	32.839442624	-2.165881295	9.3392806552	1
jogging	216	2.1562437324	female	20.413910349	1.3971275501	3.9521078069	0
jogging	217	0.99618864	female	35.683353558	-1.867672492	2.3094924231	0
jogging	218	2.0874770437	female	24.367225516	0.5835184357	8.3760215592	1
jogging	219	2.1484996252	female	29.314386975	2.342692639	7.9138604699	1
jogging	220	2.5260689215	female	33.121424216	17.325899925	8.6222207257	1
jogging	221	2.7210772295	female	29.92465021	7.305182996	2.1910958747	0
jogging	222	2.7460288432	female	32.883594181	16.737702609	8.7759610818	1
jogging	223	2.5389340227	female	34.014336248	15.605242029	9.8613783813	1
jogging	224	1.8947001841	female	28.656696297	4.3327325897	9.8565707023	1
jogging	225	2.1297569508	female	36.320782877	3.5209766796	4.4711343491	0
jogging	226	2.3242402038	female	26.52593714	12.298241012	7.2481328888	1
jogging	227	1.6099363218	female	34.849337162	5.8798589905	3.9121737431	0
jogging	228	1.9012504427	female	26.445948111	1.6664420255	2.1664018502	0
jogging	229	1.9914271568	female	35.079595428	9.6644656285	6.8819082058	0
jogging	230	2.8113533781	female	28.927503556	17.97193542	11.985711339	1
jogging	231	2.1855291715	female	36.23061676	6.4751790309	5.4882390091	0
jogging	232	1.9653397115	female	18.738517619	-7.176443192	3.2489386595	0
jogging	233	1.9534919368	female	32.36428122	11.972729823	10.611151018	1
jogging	234	1.7705925725	female	30.031593798	0.8065420618	1.7729099354	0
jogging	235	2.5447010636	female	23.797176452	12.452862788	4.4239254871	0
jogging	236	1.651833701	female	31.411131703	5.6540620713	3.8434380243	0
jogging	237	1.7889344518	female	26.728661036	2.4044972875	5.6592489452	0
jogging	238	2.3567512428	female	26.534134587	12.423355763	3.5205122922	0
jogging	239	2.7788929306	female	20.167262926	0.9971381732	7.5572123284	1
jogging	240	1.5653082992	female	28.629073917	-5.186867731	4.7426577097	0
jogging	241	1.6785577471	female	23.352650957	-3.340374261	7.8929859706	1
jogging	242	1.6448627946	female	31.597838071	2.9337000233	10.458357379	1
jogging	243	2.1736816271	female	32.914359782	7.7649519762	6.2947645649	0
jogging	244	1.2926300554	female	30.609722496	-4.040597677	2.6701127897	0
jogging	245	1.3273288719	female	28.445241768	-5.573334519	3.2500953559	0
jogging	246	1.9363384215	female	26.703020507	1.8767909969	6.1225218412	0
jogging	247	2.1574544294	female	33.14165941	4.9246811277	8.697487443	1
jogging	248	1.5711725542	female	37.505559656	4.9139010039	4.4252895018	0
jogging	249	1.9559698718	female	20.338806439	-2.36344045	7.1564509186	1
jogging	250	2.1254838539	female	31.723003104	5.3083338959	5.0739064711	0
jogging	251	1.8396912875	female	36.648020633	4.4531235913	3.3511272298	0
jogging	252	1.1356745199	female	27.623325156	-13.13797745	6.0766893783	0
jogging	253	2.0288845381	female	33.593304468	13.98144144	5.3718010239	0
jogging	254	2.3869261782	female	31.026218224	8.8607727121	6.5219112326	0
jogging	255	1.5134567194	female	35.827334385	6.4732697557	6.7688355412	0
jogging	256	2.0000539946	female	30.108579331	-0.217715881	5.6326057473	0
jogging	257	2.7999996769	female	34.550816511	23.141502112	4.2718547273	0
jogging	258	1.1807445967	female	33.783878136	-5.676177296	2.3214808467	0
jogging	259	1.5917634354	female	35.604241256	8.6970347878	2.461799525	0
jogging	260	2.370960937	female	33.889610146	12.537309365	5.5959846047	0
jogging	261	2.3937263765	female	33.360352909	10.041117818	7.7610119368	1
jogging	262	2.3464718295	female	29.872821831	4.6363827315	5.8665976297	0
jogging	263	1.5003288655	female	22.285410024	-4.837634001	7.9824247516	1
jogging	264	2.8363010527	female	41.915183012	23.275449603	10.384697881	1
jogging	265	2.069974971	female	38.055121479	6.4858349343	7.0150733295	1
jogging	266	2.3542754916	female	32.408081777	15.592209528	10.699222717	1
jogging	267	2.9706483578	female	29.551180964	3.8517463166	9.7387294862	1
jogging	268	2.1245653096	female	28.607779325	13.302830502	3.142388437	0
jogging	269	1.8131768951	female	28.243399364	-0.746444962	4.2515732511	0
jogging	270	1.8698939134	female	31.832601463	4.5791915728	3.0219138064	0
jogging	271	2.1984025637	female	24.536489073	4.2109935737	3.3160618954	0
jogging	272	2.0525870721	female	30.152262029	2.7339221326	7.2175215585	1
jogging	273	0.668341632	female	25.684532542	-5.477191707	2.003402669	0
jogging	274	1.5571107348	female	27.325271382	-0.803155733	4.8123360899	0
jogging	275	1.9776534073	female	36.755574524	7.8482637563	5.7996612509	0
jogging	276	1.8094733134	female	35.111262394	2.6262475438	4.339397926	0
jogging	277	2.2838788392	female	25.092884022	-0.36038718	3.0218720323	0
jogging	278	2.2695510932	female	41.014565694	14.44806105	4.4540730137	0
jogging	279	1.5851222357	female	24.818715449	-4.377123097	4.78243685	0
jogging	280	1.617011197	female	23.354596409	-9.438920396	0.5226762892	0
jogging	281	2.3584868489	female	31.286508006	14.791388097	3.947603431	0
jogging	282	1.7169432473	female	26.714933721	-0.058835726	10.286011531	1
jogging	283	1.9793285742	female	34.547124105	8.29264475	8.3538554423	1
jogging	284	2.3693755204	female	33.745065197	7.9539293922	11.881331188	1
jogging	285	1.4675198543	female	24.53701531	0.2887699363	4.5828675699	0
jogging	286	2.218057886	female	25.065624015	4.6570626949	11.991669677	1
jogging	287	1.3996318984	female	23.294431437	-4.932004495	1.7977281726	0
jogging	288	2.2297767478	female	28.369223071	-3.591117595	7.0953529467	1
jogging	289	1.4933759193	female	33.566463271	5.1582783467	5.7554065404	0
jogging	290	1.4509014269	female	22.852233915	-9.813676167	2.9560581294	0
jogging	291	2.1270435093	female	33.415497188	7.3266269553	7.467715555	1
jogging	292	2.3935173199	female	30.1677127	14.398298353	6.6267629112	0
jogging	293	1.8466620963	female	26.529683819	0.6414239398	1.3091055199	0
jogging	294	2.6011024893	female	26.352537687	10.447652224	8.6693084022	1
jogging	295	1.6977612527	female	24.863267919	7.0042301573	-2.140182512	0
jogging	296	1.8228240613	female	27.451401185	10.213809373	4.3684648298	0
jogging	297	1.4648389982	female	40.404538516	3.5831520309	5.6531770036	0
jogging	298	1.8372774108	female	36.693925939	16.751916881	1.7059174055	0
jogging	299	1.6144551452	female	27.899004044	3.9108473042	6.305076309	0
jogging	300	2.1104180729	female	25.235568316	7.1306547771	4.0273133077	0
swimming	1	2.2807107368	male	33.47360468	31.904557551	5.507071187	0
swimming	2	1.4675036719	male	26.201716017	14.87570237	12.464593304	1
swimming	3	2.0364615166	male	29.759660853	27.568365616	6.4063665318	0
swimming	4	2.5586888633	male	39.828291498	42.052941201	8.5425141012	0
swimming	5	1.771688222	male	30.52445925	20.626815629	6.5312265627	0
swimming	6	1.7449498281	male	33.526573132	31.055843102	-2.718731531	0
swimming	7	3.1158767092	male	30.451582926	37.129691906	20.087375941	1
swimming	8	2.1387791169	male	37.7849071	39.144943446	-6.533315327	0
swimming	9	1.1403146084	male	32.733529637	14.997954221	10.553676697	0
swimming	10	1.7789716831	male	34.504546555	28.880261524	2.9859614808	0
swimming	11	2.5133798747	male	39.281978835	38.391943927	14.407906378	1
swimming	12	1.8246402354	male	32.775859206	20.255095721	5.5321460442	0
swimming	13	1.657993903	male	34.043543374	19.251826927	9.805137002	0
swimming	14	1.6988289582	male	25.456348436	23.155097791	13.859944877	1
swimming	15	2.4225192455	male	25.298279561	24.925845786	26.351113033	1
swimming	16	2.3017923242	male	27.492433363	19.87449036	2.0538061689	0
swimming	17	1.9737628176	male	29.309426368	17.900089184	0.0187090416	0
swimming	18	1.8176673771	male	30.541482647	17.677652164	7.8555302701	0
swimming	19	2.1694085498	male	27.489523289	22.41991761	9.5704917414	0
swimming	20	2.3805402375	male	33.687848307	26.661570855	8.9345847619	0
swimming	21	2.0441549487	male	29.333287422	25.387454594	10.645441711	0
swimming	22	2.4762724598	male	22.195460311	25.579431227	17.312787561	1
swimming	23	1.8902898498	male	26.834989309	16.127006341	11.733381898	1
swimming	24	2.4590050076	male	34.674425618	29.602083217	9.8818083799	0
swimming	25	2.042378182	male	29.077251354	19.06512394	4.7441156918	0
swimming	26	1.3025808017	male	29.728542043	19.907122522	6.4894877448	0
swimming	27	1.2892708776	male	25.66738261	12.67256169	16.454941526	1
swimming	28	2.1671777073	male	34.478481363	34.775254042	-1.13382606	0
swimming	29	2.6834531759	male	31.96754454	33.342068119	13.411345456	1
swimming	30	1.5983632723	male	16.637266739	12.611475252	14.464180008	1
swimming	31	1.9224117049	male	37.804897281	27.6027708	8.6033115052	0
swimming	32	1.9086249258	male	25.768640188	20.215671204	5.7168082374	0
swimming	33	1.5973428996	male	33.464198964	22.889801106	14.237847222	1
swimming	34	2.3947563354	male	25.278937578	22.36233727	18.102139778	1
swimming	35	2.4589364401	male	25.124065553	13.304111035	13.754449459	1
swimming	36	2.6364158735	male	21.171385259	13.793764615	12.970431089	1
swimming	37	1.5588041588	male	20.509527706	13.602772773	10.401537531	0
swimming	38	0.9870379579	male	26.657333045	15.440031022	-3.023806935	0
swimming	39	1.8476369467	male	33.737377282	23.300854085	12.257268087	1
swimming	40	2.3292044323	male	29.7709542	21.938411044	8.1754442423	0
swimming	41	2.1609329767	male	25.796193149	17.524412339	7.5703496553	0
swimming	42	2.0916474437	male	23.593504301	17.839079262	6.2706238406	0
swimming	43	2.0969366186	male	24.30144647	13.4723914	13.434885678	1
swimming	44	1.5941471131	male	28.08084536	16.024696029	6.0231096713	0
swimming	45	1.7847534479	male	26.087086434	15.640839599	4.6358545504	0
swimming	46	2.5099753917	male	32.955850142	30.645471366	21.674254317	1
swimming	47	1.2756159519	male	26.822920888	14.17379765	9.435172614	0
swimming	48	2.2113346618	male	33.682084523	31.418726104	5.2163835417	0
swimming	49	2.7493666817	male	20.106211489	15.774367774	17.580902987	1
swimming	50	1.1620226639	male	31.2194901	10.138912887	3.6637951804	0
swimming	51	1.4148584292	male	28.686745168	17.164195628	-0.155577164	0
swimming	52	1.5401729458	male	31.686999904	16.660869919	13.337009343	1
swimming	53	1.7645991237	male	30.826734229	22.340650925	2.7103926566	0
swimming	54	1.0010280728	male	34.251059707	13.412705092	-2.216553187	0
swimming	55	1.5042268415	male	30.325434526	13.521346675	1.1196908088	0
swimming	56	1.9496506786	male	24.92224591	15.919453629	-0.861811807	0
swimming	57	1.2405980303	male	28.030361099	13.380537977	-3.675490193	0
swimming	58	2.3341191573	male	29.740650301	28.962844428	-1.531588581	0
swimming	59	1.6787053434	male	41.884561843	34.700421565	6.0814949857	0
swimming	60	2.0042759375	male	23.200960955	19.132488337	7.2759983592	0
swimming	61	2.0345145808	male	27.725504273	20.804786562	15.273709192	1
swimming	62	1.6150534641	male	33.038400646	16.634028891	5.7842904106	0
swimming	63	1.614232514	male	30.68749455	23.235636	6.4458226562	0
swimming	64	2.2832493309	male	39.265533975	41.085192284	15.269350493	1
swimming	65	1.9774108166	male	23.488340905	13.765160674	13.266254509	1
swimming	66	2.0150037593	male	31.106687292	20.046479043	8.2022220649	0
swimming	67	1.3576643221	male	27.705180016	15.282194043	11.021512812	1
swimming	68	1.8711366541	male	26.660669167	17.908099973	10.107657247	0
swimming	69	1.2638678185	male	24.859347326	10.5263018	3.0510917411	0
swimming	70	4.0722181987	male	30.829156047	38.09216257	12.483219859	1
swimming	71	2.3540440881	male	27.082062974	21.543749808	21.711548844	1
swimming	72	2.0815843105	male	37.179717582	35.846288595	6.2134619963	0
swimming	73	2.2426244127	male	27.688139558	18.618062204	15.126198126	1
swimming	74	3.0283685402	male	29.902099542	27.634069874	21.110032729	1
swimming	75	1.7371955303	male	18.53790261	11.675151434	3.900729947	0
swimming	76	1.6053269462	male	20.07828236	5.1319083745	2.7198625706	0
swimming	77	1.6958191075	male	24.453292607	15.056997072	17.355697326	1
swimming	78	1.8543711446	male	29.436950005	18.118854386	17.580998861	1
swimming	79	1.6214477742	male	28.255361081	22.425977146	-0.050952017	0
swimming	80	1.8062566008	male	23.908219552	11.611028066	14.480324877	1
swimming	81	1.2480661737	male	27.274399058	14.340140468	22.838639634	1
swimming	82	2.2845540016	male	31.2499753	29.431274211	8.2447817731	0
swimming	83	2.1315621697	male	42.221963538	45.930371408	15.410239999	1
swimming	84	1.4934372093	male	29.221927748	14.952211803	7.1553798441	0
swimming	85	2.0402412683	male	21.492239524	16.359113752	13.715656094	1
swimming	86	2.1743496837	male	30.345220933	20.506726155	9.4604391787	0
